name,unit,quantity
olive oil,ml,2.7
stalks of celery,kg,0.046
carrots,kg,0.04
zucchini,kg,0.025
concentrated tomato paste,g,4
chopped canned tomatoes,L,0.05
provence spices,tbsp,0.1
oregano,tbsp,0.07
basil,tbsp,0.07
soy sauce,cup,0.02
water,L,0.035
